* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Users\mahdi\Desktop\Wall-Mydlarz qPCR\alex_qPCR_3rc.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	NOISE	SPIKE
A1																		N	N	N	N
A2	Recovery-2016-4	C	UNKNOWN	VIC	NFQ-MGB	34.0535	33.8945	0.2248				false	0.01	false	3	20		Y	N	N	N
A2	Recovery-2016-4	D	UNKNOWN	FAM	NFQ-MGB	29.611	29.2512	0.5088				false	0.01	false	3	20		Y	N	N	N
A3	Recovery-2016-8	C	UNKNOWN	VIC	NFQ-MGB	28.464	28.114	0.4949				false	0.01	false	3	20		N	N	N	N
A3	Recovery-2016-8	D	UNKNOWN	FAM	NFQ-MGB	36.1173	36.1173					false	0.01	false	3	20		N	N	N	N
A4	Recovery-2016-12	C	UNKNOWN	VIC	NFQ-MGB	34.0518	34.3135	0.37				false	0.01	false	3	20		N	N	N	N
A4	Recovery-2016-12	D	UNKNOWN	FAM	NFQ-MGB	29.6185	29.3753	0.3439				false	0.01	false	3	20		N	N	N	N
A5	Recovery-2016-16	C	UNKNOWN	VIC	NFQ-MGB	33.9254	33.5807	0.4876				false	0.01	false	3	20		N	N	N	N
A5	Recovery-2016-16	D	UNKNOWN	FAM	NFQ-MGB	29.6424	29.385	0.3639				false	0.01	false	3	20		N	N	N	N
A6	Recovery-2016-20	C	UNKNOWN	VIC	NFQ-MGB	26.3857	26.1261	0.3672				false	0.01	false	3	20		Y	N	N	N
A6	Recovery-2016-20	D	UNKNOWN	FAM	NFQ-MGB	35.2121	36.2976	1.5351				false	0.01	false	3	20		Y	N	N	N
A7	Recovery-2016-44	C	UNKNOWN	VIC	NFQ-MGB	27.7487	27.6331	0.1635				false	0.01	false	3	20		N	N	N	N
A7	Recovery-2016-44	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
A8	Recovery-2016-48	C	UNKNOWN	VIC	NFQ-MGB	30.7561	30.6635	0.1309				false	0.01	false	3	20		Y	N	N	N
A8	Recovery-2016-48	D	UNKNOWN	FAM	NFQ-MGB	27.6822	27.2513	0.6094				false	0.01	false	3	20		Y	N	N	N
A9	Recovery-2016-52	C	UNKNOWN	VIC	NFQ-MGB	27.8279	27.6771	0.2132				false	0.01	false	3	20		N	N	N	N
A9	Recovery-2016-52	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	3	20		N	N	N	N
A10	Recovery-2016-56	C	UNKNOWN	VIC	NFQ-MGB	27.634	27.4638	0.2408				false	0.01	false	3	20		Y	N	N	N
A10	Recovery-2016-56	D	UNKNOWN	FAM	NFQ-MGB	33.5326	32.7696	1.0791				false	0.01	false	3	20		Y	N	N	N
A11	Recovery-2016-60	C	UNKNOWN	VIC	NFQ-MGB	31.6571	31.7833	0.1785				false	0.01	false	3	20		N	N	N	N
A11	Recovery-2016-60	D	UNKNOWN	FAM	NFQ-MGB	28.1418	28.3351	0.2733				false	0.01	false	3	20		N	N	N	N
A12																		N	N	N	N
B1	Recovery-2016-1	C	UNKNOWN	VIC	NFQ-MGB	39.4221	38.753	0.9462				false	0.01	false	3	20		Y	Y	N	N
B1	Recovery-2016-1	D	UNKNOWN	FAM	NFQ-MGB	32.2051	32.2752	0.0991				false	0.01	false	3	20		Y	Y	N	N
B2	Recovery-2016-4	C	UNKNOWN	VIC	NFQ-MGB	33.7356	33.8945	0.2248				false	0.01	false	3	20		Y	N	N	N
B2	Recovery-2016-4	D	UNKNOWN	FAM	NFQ-MGB	28.8914	29.2512	0.5088				false	0.01	false	3	20		Y	N	N	N
B3	Recovery-2016-8	C	UNKNOWN	VIC	NFQ-MGB	27.764	28.114	0.4949				false	0.01	false	3	20		N	N	N	N
